,До оптимизации,После оптимизации,Дельта,"Относительное изменение, %"
Число ТТ,204.0,204.0,0.0,0.0
Число Мерчендайзеров,14.0,15.0,-1.0,-7.142857142857142
"Суммарная средняя траектория всех ТП, км",19.861557142857148,10.538253333333333,9.323303809523814,46.941454501601214
"Суммарная траектория всех маршрутов всех ТП, км",1390.3090000000002,790.369,599.9400000000002,43.151558394572724
Средняя длительность рабочего дня для ТП,7.6236450000000024,6.982081999999999,0.6415630000000032,8.415436448050807
"Общая продолжительность работы всех ТП, час",533.6551500000002,523.6561499999999,9.999000000000251,1.8736819086258696
